Código,NOMBRE DE LUGAR POBLADO,C1,C2
10403002,EL CARACOL O BARRIO GUAYMÍ NO.2,33,147
10403003,LA BOMBA (P),26,78
10403004,LOMA QUEBRADA O LOS PIÑEROS,12,55
10403005,MILLA 2 (P),27,42
10403006,MILLA 3 (P),111,320
10403007,MILLA 4,18,63
10403008,MILLA 4 1/2,18,54
10403009,MILLA 5 (P),7,26
10403010,MIRAFLORES (P),74,364
10403011,NUEVO PARAÍSO,269,902
10403013,QUEBRADA LIMÓN,26,41
10403015,QUEBRADA NIGUA NO.1,46,159
10403018,ALTO REFUGIO,49,169
10404002,BAJO GAVILÁN,63,207
10404003,BOCA CHICA (P),21,25
10404006,CHANGUINOLA ARRIBA (P),60,119
10404007,CHARCO LA PAVA No.2,114,400
10404009,GUAYABAL (P),38,77
10404010,NANCE DE RISCÓ,178,581
10404011,PUNTA PEÑA BLANCA (P),5,7
10404013,VALLE EL REY,48,141
10404016,COMUNIDAD LAZO,12,12
10404017,LA SOLEDAD DE RISCÓ,28,81
10405001,BAHÍA DE LOMA AZUL,13,29
10405002,CAYO ROLDÁN,4,3
10405003,EL CARRIZAL,4,10
10405004,ISLA PASTORES,35,52
10405005,LOMA AZUL (P),47,227
10405006,LOMA COCO,25,150
10405007,LOMA ESTRELLA (P),66,246
10405008,OJO DE AGUA (P),1,0
10405009,PALO SECO (P),14,62
10405010,PUNTA GALLINAZO,7,10
10405011,PUNTA PARGO,8,2
10405012,QUEBRADA BOSALI,6,19
10405013,QUEBRADA CACAO,69,161
10405014,QUEBRADA CASCAJO,14,53
10405015,QUEBRADA GARAY,8,35
10405017,QUEBRADA PASTOR,192,555
10405018,QUEBRADA PITTI,27,98
10405019,RENACIMIENTO,68,215
10405020,RÍO OESTE ABAJO,81,328
10405021,RÍO OESTE ARRIBA,131,528
10405022,VALLE DE AGUA ABAJO,31,90
10405023,VALLE DE AGUA ARRIBA,130,629
10405024,VALLE DE LAS PERLAS,71,179
10405025,LA ESCAPADA,4,2
10405026,NUEVA ESPERANZA,36,133
10405027,BAHÍA LOMAS,2,7
10405028,LOMA ESTRELLA ABAJO,12,26
10405029,LOMA VALIENTE,32,82
10405030,LOMA SANTOS (P),4,8
10406003,BOCA DE CULUBRE O PEÑA BLANCA (P),14,25
10406005,CABECERA DE CULEBRA (P),6,5
10406007,CULEBRA (P),8,3
10406008,CHANGUINOLA ARRIBA (P),28,42
10406010,GUAYABO O FINCA GUAYABO,16,85
10406011,DOS RIOS,25,30
10406013,BARRIADA 5 ESTRELLAS,16,63
10406019,LA SOLEDAD,67,241
10406020,NACHUIDO O QUEBRADA PLUMA,41,99
10406021,GUAYABAL (P),24,38
10406022,NUDOBIRI,165,565
10406027,PUNTA PEÑA BLANCA  (P),6,13
10406028,PUNTA PEÑA (P),86,327
10406032,QUEBRADA PITA,84,212
10406033,ALTO ROMERO,57,111
10406035,TOLOTE U ORIENTE DEL RISCÓ (P),131,489
10406036,VALLE DEL RISCÓ,452,1505
10406038,VELORIO O MONTE VERDE,9,6
10406040,NIRIONTE NO.2 O BARRIADA GUERRA,18,62
10406041,PALO SECO (P),45,121
10406042,ALTO PINEDA,4,10
10406043,ALTO REFUGIO,45,60
10406044,BAJO NIEVE,6,22
10406045,BARRIADA SANTEÑA,31,173
10406046,OJO DE AGUA,7,12
10406047,OREGONTE,12,56
10406048,QUEBRADA CARACOL (P),3,3
10406049,QUEBRADA ESPERANZA DE RISCÓ,3,8
10407001,ALTO URI O NUEVA ZELANDA,20,75
10407002,ARCOIRIS,10,26
10407003,BAJO CULUBRE (P),107,532
10407004,CAÑA BLANCA,9,39
10407005,CEIBA ARRIBA (P),10,34
10407006,FÁBREGA,12,58
10407007,LAJAS O SOL DEL MONTE,15,52
10407008,LOS NARANJOS,6,12
10407009,SITIO FLORES,26,135
10408001,BOCA DE NEGRITA O LA NEGRITA (P),21,163
10408002,QUEBRADA ESTRELLA,9,28
10408003,CAUCHERO,17,37
10408004,CAUCHERO ARRIBA,49,171
10408005,CAYO MONO (P),5,10
10408006,CERRO PALMA,17,93
10408008,DOS ESCOBAS (P),9,19
10408009,EL DESIERTO,8,55
10408010,LOMA AZUL (P),69,288
10408011,LOMA ESTRELLA (P),65,234
10408012,LOMA FRÍA,21,72
10408013,LOS HIGUERONES,32,101
10408014,LOS NARANJOS,11,77
10408017,PUEBLO NUEVO (P),19,38
10408021,QUEBRADA DEL PUEBLO,65,184
10408022,QUEBRADA HUACA,25,98
10408023,QUEBRADA MINA,32,74
10408024,QUEBRADA PINZÓN,112,270
10408025,QUEBRADA PLÁTANO,73,206
10408026,RÍO UYAMA,2,6
10408027,ALTO CAÑA,43,127
10408028,BARRIADA LA FE,45,175
10408029,LOMA CUCHILLA O CERRO PIEDRA,6,18
10408030,QUEBRADA MONO,46,121
10408031,SILOE,30,167
10408032,ÁFRICA (P),2,0
10408033,PUNTA PEÑA (P),11,8
10408034,TOLOTE U ORIENTE DEL RISCÓ (P),2,0
10408035,ALTO PIEDRA,1,0
10408036,BAJO MINA,14,66
10408037,LOMA SANTOS (P),11,28
10409001,BAJO CULUBRE (P),1,5
10409002,CABECERA DE CULEBRA (P),1,0
10409003,CEDRALES,18,93
10409004,CEIBA,151,483
10409005,CEIBA ARRIBA (P),26,64
10409006,CULEBRA (P),4,11
10409007,GUAYACÁN,119,386
10409008,LA PLAYITA,45,201
10409009,QUEBRADA CARACOL (P),17,63
10409010,VALLE LIBRE,22,41
10409011,VELORIO O MONTE VERDE (P),6,14
10409012,BOCA DE CULUBRE O PEÑA BLANCA (P),2,0
10410001,BELLA VISTA,94,343
10410002,LA GLORIA (P),3,4
10410003,LOMA MULETO (P),1,0
10410004,MILLA 3 (P),2,0
10410005,MILLA 5 (P),11,29
10410006,MILLA 7 1/2 (P),19,80
10410007,MIRAFLORES (P),6,22
10410008,OJO DE AGUA (P),276,368
10410009,QUEBRADA BANANO,55,170
10410011,TIBITE,118,287
20101001,AGUADULCE,3783,9334
20101005,PUERTO DE AGUADULCE,2,0
20101013,LOS PINOS,70,198
20101016,CERRO EL VIGÍA,10,12
20101018,FINCA LA FE,5,11
20101021,VÍA AL PUERTO,10,19
20101022,FINCA LA POLONIA,1,2
20102003,EL CALIXTO O LOS JUÁREZ,23,75
20102004,EL CRISTO,391,1005
20102005,EL ESTERO DE SAN JOSÉ (P),99,264
20102007,EL HIGO,52,125
20102009,EL NARANJAL,187,513
20102010,EL OLIVO,54,155
20102011,EL PICACHO (P),4,4
20102013,JUAN BRAN,59,171
20102017,BARRIADA SANTA MARTA,46,121
20102018,LA POZA,47,145
20102024,QUEBRADA DE HATO,21,34
20102025,BARRIADA PUEBLO NUEVO,85,236
20102026,BARRIADA SAN PEDRO,50,133
20102028,LA NEGRITA,31,85
20102029,TRANQUILLA,5,12
20102034,LOS LAGOS,1,3
20102036,LAS MINERAS (P),5,4
20103004,CHILIBRE,50,125
20103006,EL GUAYABO,37,61
20103008,EL ROBLE,688,1739
20103012,EL HATO LA ESTRELLA O ALTO LA ESTRELLA,94,213
20103013,LA LOMA,674,1776
20103015,LLANO BONITO,151,377
20103019,MEMBRILLAL,155,416
20103030,EL NARANJAL (P),7,86
20103038,RESIDENCIAL DON BOSCO,16,37
20103039,RESIDENCIAL DON BOSCO 2,7,0
20104006,POCRÍ (P),3110,8194
20105002,BARRIOS UNIDOS,3546,9559
20105003,BELLA VISTA,43,17
20105004,EL GALLO,72,180
20105005,EL SALADO,100,206
